post_id,likes,shares,comments,creation_timestamp,permalink_url,post_text,page_id,post_type
159616034235_10156210246954236,481,65,42,2018-01-02 16:00:03.000,https://www.facebook.com/walmart/videos/10156210246954236/,﻿Fit it in with home and office workouts. Get the right gear to keep you going. #LiveBetter http://www.walmart.com/healthyliving   — Products shown: MaxiClimber Total Body Workout.,159616034235,VID
159616034235_10156213195084236,441,31,44,2018-01-03 18:00:03.000,https://www.facebook.com/walmart/videos/10156213195084236/,"﻿From fitness to nutrition, find a solution for every resolution in our weekly ad. Shop active wear, fresh food and more: http://bit.ly/2kVDfxx   — Products shown: Life WTR®, Athletic Works® Shorts, Gold’s Gym® Trainer 430i Treadmill, Select Spring Valley® Supplements, Avia® Long Sleeve Tee, Apple & Eve® Juice Variety 32 Pack, Fitbit Charge 2™, Athletic Works® Fitness Mat, Avia® Knit Woven Jacket and 11 others.",159616034235,VID
159616034235_10156213555279236,1008,137,101,2018-01-03 21:00:00.000,https://www.facebook.com/walmart/posts/10156213555279236:0,"﻿Boost your breakfast with this healthy hack: sprinkle chia seeds over jam or yogurt for a nutrient-rich meal. Yum! This quick-and-easy recipe courtesy of @andapinchoflove. What a great idea to #LiveBetter with Great Value Organics ingredients!   — Products shown: Great Value Organic Black Chia Seeds, 12 oz.",159616034235,IMG
159616034235_10156215513324236,489,57,108,2018-01-04 16:01:00.000,https://www.facebook.com/walmart/videos/10156215513324236/,﻿Start 2018 off on the right foot (and track that step while you’re at it).  👟👟👟 Reach your #LiveBetter goals with the right accessories: a stylish smart watch that keeps you on track and headphones that help you work out without those worrisome wires. You got this.   — Products shown: Fitbit Ionic Smartwatch and Bose SoundSport Wireless Headphones.,159616034235,VID
159616034235_10156224436059236,663,55,66,2018-01-07 22:00:02.000,https://www.facebook.com/walmart/videos/10156224436059236/,"﻿Out-of-sight, within reach. It all comes together in our weekly ad. Get easy storage options today: http://bit.ly/2kVDfxx   — Products shown: Mainstays™  6-Cube Organizer, Dirt Devil® Power Express™  Vacuum, Better Homes and Gardens® Canvas Hamper, Select Mainstays™ Essentials, Sterilite®  3-Drawer Weave Tower, Sterilite® 28-Qt. Storage 2 Pack, Sterilite® 12-Qt.Storage 4 Pack, Mainstays Rolling Garment Rack, Mainstays™  Firm or Extra Firm Pillow and 6 others.",159616034235,VID
159616034235_10156226509824236,902,24,122,2018-01-08 19:18:02.000,https://www.facebook.com/walmart/posts/10156226509824236,﻿Healthy snacks for your kids! See why @thecoffeemom0617 loves affordable Parent’s Choice snacks. Find your new faves: http://bit.ly/2EmfUgD,159616034235,PST
159616034235_10156233860974236,29308,14892,7427,2018-01-11 14:26:00.000,https://www.facebook.com/walmart/posts/10156233860974236:0,"﻿Excited to share some news today! We’re raising our starting wage to $11 an hour for all hourly associates in the U.S. Additionally, we are expanding our maternity & parental leave benefits as well as offering a one-time bonus to all eligible full-time and part-time U.S. associates 💛. Learn more from CEO Doug McMillon here:  http://bit.ly/2DilSzT",159616034235,IMG
159616034235_10156254354874236,380,66,38,2018-01-18 21:23:03.000,https://www.facebook.com/walmart/videos/10156254354874236/,﻿DisposeRX is a free & easy solution for responsible opioid disposal now offered at Walmart pharmacies. Learn more about how it can impact the fight against opioid abuse & misuse: http://bit.ly/2DGlawu,159616034235,VID
159616034235_10156256846114236,430,43,40,2018-01-19 19:15:05.000,https://www.facebook.com/walmart/videos/10156256846114236/,"﻿Our pharmacists are ready to help you get your health on track and #LiveBetter in the new year! Drop by #WellnessDay at your local store TODAY, January 20 from 10am - 2pm for free blood pressure and blood glucose screenings.",159616034235,VID
159616034235_10156257708854236,522,56,29,2018-01-20 01:00:02.000,https://www.facebook.com/walmart/videos/10156257708854236/,"﻿2018 = time to live that #OrganizedLife! We've got everything you need to clean up your closet, tidy up that toy room, conquer the clothes pile, or corral and display your decor. #LiveBetter",159616034235,VID
